Time (sec),R1 W1 Avg,R1 W2 Avg,R1 R1,R2 W1 Avg,R2 W2 Avg,R2 R1,R3 W1 Avg,R3 W2 Avg,R3 R1,R4 W1 Avg,R4 W2 Avg,R4 R1,R5 W1 Avg,R5 W2 Avg,R5 R1,R6 W1 Avg,R6 W2 Avg,R6 R1,R7 W1 Avg,R7 W2 Avg,R7 R1,R8 W1 Avg,R8 W2 Avg,R8 R1,R9 W1 Avg,R9 W2 Avg,R9 R1,R10 W1 Avg,R10 W2 Avg,R10 R1,R11 W1 Avg,R11 W2 Avg,R11 R1,R12 W1 Avg,R12 W2 Avg,R12 R1,R13 W1 Avg,R13 W2 Avg,R13 R1,R14 W1 Avg,R14 W2 Avg,R14 R1,R15 W1 Avg,R15 W2 Avg,R15 R1,R16 W1 Avg,R16 W2 Avg,R16 R1,R17 W1 Avg,R17 W2 Avg,R17 R1,R18 W1 Avg,R18 W2 Avg,R18 R1,R19 W1 Avg,R19 W2 Avg,R19 R1,R20 W1 Avg,R20 W2 Avg,R20 R1,R21 W1 Avg,R21 W2 Avg,R21 R1,R22 W1 Avg,R22 W2 Avg,R22 R1,R23 W1 Avg,R23 W2 Avg,R23 R1,R24 W1 Avg,R24 W2 Avg,R24 R1,R25 W1 Avg,R25 W2 Avg,R25 R1,R26 W1 Avg,R26 W2 Avg,R26 R1,R27 W1 Avg,R27 W2 Avg,R27 R1,R28 W1 Avg,R28 W2 Avg,R28 R1,R29 W1 Avg,R29 W2 Avg,R29 R1,R30 W1 Avg,R30 W2 Avg,R30 R1,R31 W1 Avg,R31 W2 Avg,R31 R1,R32 W1 Avg,R32 W2 Avg,R32 R1,R33 W1 Avg,R33 W2 Avg,R33 R1,R34 W1 Avg,R34 W2 Avg,R34 R1,R35 W1 Avg,R35 W2 Avg,R35 R1,R36 W1 Avg,R36 W2 Avg,R36 R1,R37 W1 Avg,R37 W2 Avg,R37 R1,R38 W1 Avg,R38 W2 Avg,R38 R1
0.44,0,0,0,39.684982,309.531173,0.129451,41.124234,295.886411,0.142011,37.236558,281.962919,0.133992,53.745272,363.79917,0.15145,44.963556,331.72449,0.137925,49.72974,343.364852,0.151361,70.591996,478.723672,0.151506,68.532374,496.085841,0.140392,38.84037,265.578522,0.149271,59.824578,380.376157,0.162627,46.795755,294.257984,0.16264,52.592237,363.159529,0.151806,56.832645,330.176101,0.184023,67.672153,252.719713,0.276097,38.604136,245.172832,0.174943,53.422157,364.566028,0.150485,38.40037,234.621962,0.194596,55.147848,340.528254,0.166327,44.29201,283.462125,0.162136,48.919354,329.191896,0.151705,76.247466,498.692271,0.154916,50.106992,314.819062,0.163153,60.973504,491.561458,0.125936,35.487256,232.777253,0.162691,29.802857,216.080054,0.148069,55.418053,365.293015,0.158555,44.263064,289.939913,0.159028,41.738137,287.936286,0.148428,27.506816,183.876013,0.167979,29.933869,205.672025,0.151733,33.43615,257.086313,0.140285,45.018375,343.789694,0.134317,40.058702,299.510077,0.135993,37.459561,277.983154,0.13812,32.361549,226.343202,0.15228,25.415545,218.788555,0.123949,43.406323,275.942818,0.158361
30.44,0,0,0,38.035215,302.997808,0.126847,39.921196,289.737089,0.140891,36.143979,275.989088,0.132865,52.196278,357.059256,0.149782,43.515624,325.027208,0.136281,48.535298,336.384593,0.150894,68.866598,467.858739,0.150979,66.885183,485.319145,0.139964,37.505787,258.214893,0.148254,58.307614,372.347987,0.161762,45.821911,289.536165,0.161912,51.014728,357.771432,0.14938,54.570939,328.351232,0.178779,49.867097,364.434194,0.139634,37.414045,245.334088,0.163149,51.850222,355.642995,0.149723,36.360857,239.378599,0.17181,53.575383,334.123475,0.164705,42.966374,277.90519,0.160547,47.36123,321.933718,0.150171,73.965781,485.791521,0.154254,48.397479,307.907838,0.161313,58.956791,478.021144,0.124969,33.455302,236.789075,0.146341,28.99667,212.067711,0.14688,53.692861,356.915692,0.157487,43.107391,286.361645,0.155374,40.832927,282.151236,0.1478,27.028579,180.760289,0.168699,29.125124,201.767349,0.150485,32.628261,252.611047,0.139721,43.892323,336.433304,0.133988,39.098954,292.959842,0.136057,36.599711,272.548152,0.137675,31.800156,222.360901,0.15261,24.718219,215.034706,0.122828,42.004904,269.676189,0.1571
33.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.01,0,0,0,33.16621,266.319608,0.126377,33.964209,249.059067,0.140361,31.026712,239.840715,0.132494,47.559689,329.006224,0.154093,42.647865,303.838045,0.144989,40.974036,285.628889,0.165926,67.836526,462.880756,0.150816,63.735825,464.930234,0.140738,34.559207,241.154167,0.147548,46.417637,292.557204,0.217459,51.695552,328.656565,0.160652,48.925808,346.325975,0.160623,50.408976,326.560419,0.16243,47.306769,363.716102,0.13373,39.226895,262.128535,0.157701,43.850005,298.735324,0.161688,31.535997,208.448343,0.187204,52.900475,333.302666,0.162431,43.232229,282.490626,0.159107,49.224276,333.879811,0.150841,68.472974,450.26762,0.154031,39.420313,248.826145,0.195458,51.869056,429.112871,0.125801,32.738888,233.850094,0.14499,27.791747,203.848118,0.149445,48.428951,322.789331,0.178159,44.757579,296.790603,0.156335,40.255956,281.085256,0.146996,25.81151,174.835445,0.167103,29.528847,207.927832,0.147829,35.155713,273.240516,0.133945,43.166167,329.02741,0.134526,36.77902,277.835808,0.135905,35.151301,264.177259,0.13731,32.277467,229.292211,0.150186,25.110187,219.790974,0.120425,37.497881,241.267343,0.159777
40.01,0,0,0,32.630926,265.385585,0.124658,33.406393,248.518543,0.13826,30.539081,239.809954,0.130264,46.924429,328.005619,0.151925,42.100035,302.915536,0.143399,40.196999,284.249374,0.161173,66.982693,460.629442,0.149372,62.847423,462.145451,0.139294,33.853333,239.469322,0.145736,45.626567,291.085862,0.208774,51.087036,328.013613,0.158861,48.273572,345.625419,0.158915,49.700843,326.390708,0.160133,46.488411,363.453638,0.13123,38.796637,261.28273,0.156053,43.243925,298.068138,0.158291,30.945425,207.867736,0.183523,52.105914,332.836496,0.16008,42.676746,282.107267,0.156472,48.294188,332.545183,0.148476,67.893096,448.164002,0.153446,38.827636,247.620681,0.192111,51.173583,426.799526,0.123989,32.192683,233.362315,0.142671,27.257528,203.533158,0.146262,47.831616,322.099101,0.175956,44.249561,296.604727,0.153337,39.731796,280.463421,0.14518,25.407447,174.918182,0.162993,28.947594,207.870991,0.145052,34.627757,272.682591,0.13211,42.642244,328.144902,0.13314,36.365415,277.396784,0.13449,34.669639,263.986786,0.135317,31.711807,229.033639,0.147418,24.599059,220.083135,0.117743,36.633576,240.668476,0.155741
42.01,0,0,0,33.086394,265.615854,0.126369,34.133297,247.761976,0.141801,31.04034,239.978522,0.132371,47.490181,326.81196,0.15542,42.753916,302.084175,0.146155,40.867624,283.346327,0.165593,67.467952,458.854772,0.151446,63.304941,459.57965,0.141581,34.443056,237.150255,0.150092,46.253555,290.34327,0.217721,51.594858,327.515633,0.160993,48.671011,345.279313,0.162466,50.267347,326.196047,0.162193,47.088082,363.445727,0.133358,39.41375,261.057385,0.159186,43.78626,297.479195,0.162836,31.591777,207.582541,0.19236,52.790339,332.164286,0.162912,43.298016,281.494522,0.159454,48.999336,331.120208,0.151431,68.404015,446.170373,0.155259,39.311334,247.077866,0.201893,51.71438,424.734076,0.127041,32.795939,233.544752,0.145629,27.998074,203.376166,0.15141,48.273762,321.358549,0.181004,44.888665,296.043244,0.156195,40.371428,279.97107,0.148036,26.111678,175.241473,0.167333,29.71761,208.352417,0.148512,35.323607,272.577943,0.135107,43.157144,327.499866,0.135273,37.025572,277.370965,0.136988,35.386116,263.767975,0.138522,32.453418,228.374284,0.151667,25.388581,219.501056,0.121443,37.368757,240.138885,0.15973
44.01,0,0,0,33.096465,264.2859,0.126881,33.93164,246.905889,0.141458,30.901792,239.168913,0.132212,47.301295,325.342041,0.155189,42.535981,301.021541,0.146072,40.625742,282.007546,0.166375,67.013825,456.398343,0.151409,62.970005,457.184584,0.141403,34.266875,235.513933,0.15067,45.973535,288.45068,0.219041,51.491107,326.347586,0.161205,48.608819,344.16921,0.163136,50.16468,324.935395,0.162775,46.881284,361.883176,0.13327,39.281906,260.038257,0.159233,43.701093,296.076642,0.163991,31.514425,206.43054,0.191984,52.515997,330.998526,0.162652,43.270123,280.103297,0.160425,48.81392,329.494125,0.1516,68.036743,443.995713,0.155286,39.085225,245.330948,0.202099,51.355545,421.88748,0.12709,32.736311,232.354537,0.145935,27.858089,202.081115,0.151203,48.102951,319.925384,0.18309,44.623845,294.369389,0.156483,40.196302,278.592464,0.148097,25.869501,174.617737,0.16714,29.621737,207.449741,0.148821,35.013345,271.348385,0.134602,42.924111,326.051503,0.135111,36.774625,275.785915,0.137052,35.204337,263.026112,0.138119,32.258472,227.075265,0.151755,25.186725,218.767485,0.121273,37.117888,238.901966,0.15946
46.01,0,0,0,31.858523,264.138531,0.122364,32.64738,247.333084,0.135736,29.776527,239.039451,0.127551,46.009587,324.801466,0.150628,41.376973,300.908624,0.141844,39.3896,281.506491,0.159741,65.726927,455.874866,0.148089,61.712933,455.833692,0.138427,32.971455,235.277203,0.144628,44.730943,288.558644,0.203389,50.267112,326.787007,0.156936,47.282023,343.824923,0.155026,48.724212,325.312048,0.157393,45.476275,362.158353,0.128761,38.044567,259.908676,0.153963,42.378665,296.66671,0.156549,30.279345,206.732263,0.180013,51.202319,331.221776,0.158017,41.946869,280.406487,0.154623,47.33777,329.054512,0.146931,66.405017,442.576191,0.151879,37.956559,245.588795,0.191187,50.004474,422.007589,0.123028,31.427589,232.624645,0.139682,26.713226,202.274338,0.144196,46.881239,319.759587,0.168898,43.204445,294.049751,0.150551,38.931254,278.474674,0.143047,24.777135,175.170821,0.1586,28.388887,207.766694,0.142192,33.886019,271.232362,0.129905,41.71928,325.761504,0.13119,35.5154,275.850981,0.132075,33.969012,263.150281,0.132801,31.0309,226.892938,0.145357,24.055072,218.457069,0.11588,35.922535,238.540589,0.15406
48.01,0,0,0,32.893738,262.992464,0.12682,33.39874,246.144892,0.13962,30.538735,238.172962,0.131162,46.785857,322.889968,0.155075,42.208744,299.514105,0.145523,40.107324,279.737125,0.164673,66.130858,453.051286,0.150208,62.220094,454.021283,0.140796,33.706229,233.685993,0.149459,45.402467,286.709062,0.219565,50.923721,325.531991,0.159802,48.086995,341.981171,0.161347,49.539697,323.891027,0.16096,46.266739,360.644307,0.131958,38.854489,258.44133,0.158677,43.138981,295.391864,0.160147,31.058321,205.588598,0.190112,51.838151,329.641619,0.161125,42.804301,278.607236,0.159402,48.085467,326.785639,0.150404,67.208519,439.593942,0.154849,38.767323,244.306845,0.200686,50.505834,418.914283,0.125903,32.340247,231.365165,0.144636,27.516571,201.104516,0.149546,47.544341,317.730801,0.17946,44.081248,292.275156,0.155098,39.644043,276.907528,0.146707,25.59124,174.019547,0.165204,29.191126,206.579791,0.14727,34.652507,269.78744,0.134014,42.49711,324.150316,0.134602,36.245094,273.922981,0.135959,34.760185,261.945257,0.136825,31.757235,225.391834,0.150036,24.934899,217.099894,0.120594,36.55792,237.182593,0.158333
50.44,0,0,0,32.075363,263.441765,0.123513,32.790229,246.388843,0.137007,30.036834,238.313781,0.128953,46.183186,322.768656,0.151605,41.453811,299.598736,0.142794,39.459624,279.423807,0.162443,65.489938,452.089581,0.148895,61.275183,452.970952,0.138765,33.174307,232.923757,0.147389,44.868029,286.816295,0.216791,50.221741,325.14352,0.1576,47.361636,341.956458,0.156357,48.881407,323.992404,0.15893,45.670937,360.60058,0.13003,38.180237,258.280996,0.155392,42.561398,295.159472,0.158055,30.481353,205.708526,0.18272,51.20287,329.434677,0.158986,42.038192,278.841612,0.156045,47.305976,326.198981,0.148202,66.21501,438.979685,0.152547,38.026053,244.377645,0.192171,49.709203,417.018161,0.123441,31.639489,231.497501,0.141376,26.904608,201.259094,0.145784,46.902193,317.462634,0.172843,43.284312,291.888262,0.152243,39.01568,276.872878,0.144195,25.004708,174.332077,0.160106,28.573789,206.901553,0.143539,34.005493,269.956614,0.131186,41.787158,324.207879,0.13212,35.721719,273.577588,0.134027,34.170443,262.038786,0.134199,31.083766,225.574742,0.146257,24.36496,217.064265,0.118197,36.011046,237.049422,0.155324
