Time (sec),R1 W1 Avg,R1 W2 Avg,R1 R1,R2 W1 Avg,R2 W2 Avg,R2 R1,R3 W1 Avg,R3 W2 Avg,R3 R1,R4 W1 Avg,R4 W2 Avg,R4 R1,R5 W1 Avg,R5 W2 Avg,R5 R1,R6 W1 Avg,R6 W2 Avg,R6 R1,R7 W1 Avg,R7 W2 Avg,R7 R1,R8 W1 Avg,R8 W2 Avg,R8 R1,R9 W1 Avg,R9 W2 Avg,R9 R1,R10 W1 Avg,R10 W2 Avg,R10 R1,R11 W1 Avg,R11 W2 Avg,R11 R1,R12 W1 Avg,R12 W2 Avg,R12 R1,R13 W1 Avg,R13 W2 Avg,R13 R1,R14 W1 Avg,R14 W2 Avg,R14 R1,R15 W1 Avg,R15 W2 Avg,R15 R1,R16 W1 Avg,R16 W2 Avg,R16 R1,R16 R1,R17 W1 Avg,R17 W2 Avg,R17 R1,R18 W1 Avg,R18 W2 Avg,R18 R1,R19 W1 Avg,R19 W2 Avg,R19 R1,R20 W1 Avg,R20 W2 Avg,R20 R1,R21 W1 Avg,R21 W2 Avg,R21 R1,R22 W1 Avg,R22 W2 Avg,R22 R1,R23 W1 Avg,R23 W2 Avg,R23 R1,R24 W1 Avg,R24 W2 Avg,R24 R1,R25 W1 Avg,R25 W2 Avg,R25 R1,R26 W1 Avg,R26 W2 Avg,R26 R1,R27 W1 Avg,R27 W2 Avg,R27 R1,R28 W1 Avg,R28 W2 Avg,R28 R1,R29 W1 Avg,R29 W2 Avg,R29 R1,R30 W1 Avg,R30 W2 Avg,R30 R1,R31 W1 Avg,R31 W2 Avg,R31 R1,R32 W1 Avg,R32 W2 Avg,R32 R1
0.35,0,0,0,53.020712,214.948412,0.270051,60.029294,248.599738,0.25096,44.210004,173.457771,0.27114,55.027779,225.688008,0.29089,20.598881,88.242413,0.263662,56.885731,251.64948,0.24507,64.463731,235.842235,0.319068,78.915647,274.443617,0.291066,67.754357,247.87392,0.297941,46.471856,179.862167,0.271544,63.370405,236.535753,0.302981,38.422975,138.5326,0.396023,79.968224,295.426745,0.281662,81.057409,289.464764,0.288652,57.764043,207.697847,0.338133,39.698126,155.108283,0.297627,45.739267,182.896246,0.290993,32.466854,121.94464,0.34998,35.818941,167.524746,0.274649,32.140372,139.728735,0.268412,23.157107,98.052644,0.328143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.35,0,0,0,52.450494,210.632786,0.273444,57.916827,238.296164,0.252724,43.768878,170.539505,0.27373,54.856225,222.469755,0.291305,19.946455,85.045833,0.266314,56.082957,246.984433,0.246505,64.388588,233.896155,0.318027,78.347482,272.443892,0.291093,67.599731,244.808154,0.301846,46.539935,178.556532,0.274683,62.963821,233.441065,0.303982,38.274427,136.789797,0.401362,79.761243,294.687582,0.280073,79.76108,294.991223,0.278555,57.386556,205.716149,0.345671,39.508906,153.104393,0.298772,45.693137,180.692666,0.293103,32.417179,119.967856,0.360645,35.565356,164.328125,0.275851,32.198493,138.70687,0.270792,23.158453,97.110435,0.33379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.24,0,0,0,61.852122,138.801884,0.464937,62.089015,188.202528,0.347016,47.370891,128.108552,0.379802,62.527525,154.795209,0.457429,19.854602,74.232587,0.309354,62.45299,185.782013,0.358556,74.059939,156.140097,0.513736,90.372004,184.11455,0.495458,77.016664,172.139032,0.470496,52.11865,137.244423,0.385932,69.924651,177.836967,0.429794,41.391199,105.480976,0.508228,89.317545,210.020208,0.425747,85.381799,230.493818,0.376703,62.557374,155.116434,0.464967,46.697534,93.225541,0.554675,51.463779,126.744796,0.468187,36.297932,82.081722,0.55364,39.491684,122.435931,0.420526,34.88669,110.983617,0.355057,25.498804,75.642489,0.43411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.24,0,0,0,64.608958,127.432315,0.522597,64.349433,174.847341,0.386171,49.559091,117.624336,0.432906,65.66828,141.296243,0.52596,20.220958,72.533831,0.323312,65.719424,169.632082,0.411972,77.343374,142.725757,0.589338,93.99806,170.578318,0.55821,80.562879,157.302478,0.541397,54.502851,127.564593,0.433522,74.097565,161.158395,0.504052,43.567992,96.820753,0.57436,94.111642,190.281467,0.493538,89.652012,211.421831,0.429238,65.895205,141.385182,0.538572,49.05097,83.194906,0.655468,54.441924,114.335082,0.556171,38.136211,74.672907,0.659629,42.177134,109.420658,0.493218,36.841067,102.311394,0.407205,26.947074,69.521993,0.499379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.24,0,0,0,66.515389,120.905238,0.569278,65.767829,167.202703,0.420686,51.332321,110.750015,0.478883,67.780078,133.192351,0.58251,20.876617,70.738806,0.341951,68.021283,159.084763,0.460267,79.510441,135.189072,0.651268,96.213475,162.9261,0.599875,83.157408,148.694623,0.600502,56.457589,121.075478,0.474538,76.934629,150.682586,0.563254,45.222439,91.119955,0.641258,97.247516,178.358922,0.547547,92.929756,199.007569,0.472683,68.254941,132.457448,0.604707,50.605571,77.350786,0.738287,56.540694,106.629932,0.629069,39.503828,69.857294,0.752042,44.254332,100.503267,0.565372,38.506929,95.897035,0.455801,28.156531,64.820994,0.565869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.24,0,0,0,67.345444,117.790904,0.586765,66.562685,162.734002,0.434704,52.059881,107.416429,0.501485,68.92063,129.039203,0.613999,20.957152,69.688308,0.346436,69.288288,152.649123,0.48744,80.635563,131.269638,0.68851,97.165234,158.851505,0.622003,84.388661,143.951879,0.63096,57.396503,117.118195,0.498855,78.592335,144.865753,0.601024,46.070425,88.273348,0.657448,98.973258,171.545106,0.582637,94.755088,191.362896,0.50002,69.605969,127.322806,0.633525,51.349809,74.767834,0.782974,57.620628,102.561079,0.660243,40.172001,67.616757,0.777225,45.475499,95.533581,0.612167,39.459957,91.839112,0.483043,28.882597,62.038802,0.591518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.24,0,0,0,66.970717,114.592037,0.601516,65.737489,158.53252,0.441142,51.586488,103.903393,0.514803,68.634339,124.850022,0.627373,20.524316,67.437873,0.352368,69.294764,146.683371,0.510507,80.342578,127.569494,0.706668,96.913671,154.938828,0.636493,84.293571,139.591326,0.65301,57.218524,113.25991,0.516219,78.674581,139.255136,0.626674,45.66306,85.174549,0.678431,99.11375,165.381555,0.605652,95.035351,184.431868,0.519896,69.605673,122.452834,0.658858,50.803762,72.096939,0.810828,57.45447,98.525526,0.682721,39.691483,65.011248,0.7992,45.354359,90.785642,0.638659,39.263717,87.709729,0.509862,28.523026,58.814445,0.623839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.24,0,0,0,67.160727,112.60549,0.61376,65.895815,155.641848,0.452581,51.777617,101.691171,0.533206,68.911904,121.991984,0.646282,20.639179,65.831157,0.366478,69.752127,142.107163,0.533234,80.706696,124.932469,0.733179,97.014033,152.047247,0.648866,84.600509,136.561687,0.671426,57.712694,110.354075,0.538017,79.218088,135.508986,0.654379,45.891073,83.078194,0.706105,99.831619,160.982308,0.629239,95.806136,179.158398,0.540213,70.204916,118.861864,0.690429,50.979339,70.660088,0.836198,57.806792,95.827052,0.716332,39.88455,63.135502,0.840039,45.837666,87.59284,0.673532,39.650221,84.562563,0.537326,28.871785,56.5259,0.665051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.24,0,0,0,68.566502,111.633412,0.634268,67.142546,154.37306,0.465074,53.043826,100.202833,0.556338,70.484459,119.816756,0.678814,21.866169,64.119527,0.397844,71.597062,136.851269,0.57638,82.382424,123.131993,0.761137,98.866939,149.877404,0.671372,86.501806,134.17316,0.704264,59.41221,107.66957,0.571733,81.245953,132.028271,0.694576,47.086332,81.792344,0.750388,102.254012,156.00018,0.673838,98.329682,173.47321,0.573887,72.19613,115.568976,0.74543,51.896233,70.681295,0.855261,59.322525,93.780474,0.754038,40.990213,61.855952,0.904932,47.454049,84.399912,0.715196,41.184052,81.066721,0.594298,30.052644,53.931648,0.755792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
