Time (sec),R1 W1 Avg,R1 W2 Avg,R1 R1,R2 W1 Avg,R2 W2 Avg,R2 R1,R3 W1 Avg,R3 W2 Avg,R3 R1,R4 W1 Avg,R4 W2 Avg,R4 R1,R5 W1 Avg,R5 W2 Avg,R5 R1,R6 W1 Avg,R6 W2 Avg,R6 R1,R7 W1 Avg,R7 W2 Avg,R7 R1,R8 W1 Avg,R8 W2 Avg,R8 R1,R9 W1 Avg,R9 W2 Avg,R9 R1,R10 W1 Avg,R10 W2 Avg,R10 R1,R11 W1 Avg,R11 W2 Avg,R11 R1,R12 W1 Avg,R12 W2 Avg,R12 R1,R13 W1 Avg,R13 W2 Avg,R13 R1,R14 W1 Avg,R14 W2 Avg,R14 R1,R15 W1 Avg,R15 W2 Avg,R15 R1,R16 W1 Avg,R16 W2 Avg,R16 R1,R16 R1,R17 W1 Avg,R17 W2 Avg,R17 R1,R18 W1 Avg,R18 W2 Avg,R18 R1,R19 W1 Avg,R19 W2 Avg,R19 R1,R20 W1 Avg,R20 W2 Avg,R20 R1,R21 W1 Avg,R21 W2 Avg,R21 R1,R22 W1 Avg,R22 W2 Avg,R22 R1,R23 W1 Avg,R23 W2 Avg,R23 R1,R24 W1 Avg,R24 W2 Avg,R24 R1,R25 W1 Avg,R25 W2 Avg,R25 R1,R26 W1 Avg,R26 W2 Avg,R26 R1,R27 W1 Avg,R27 W2 Avg,R27 R1,R28 W1 Avg,R28 W2 Avg,R28 R1,R29 W1 Avg,R29 W2 Avg,R29 R1,R30 W1 Avg,R30 W2 Avg,R30 R1,R31 W1 Avg,R31 W2 Avg,R31 R1,R32 W1 Avg,R32 W2 Avg,R32 R1
0.46,151.953757,247.839381,0.618499,231.828937,561.676373,0.424713,191.692245,447.934282,0.444507,240.102008,589.350904,0.42855,202.812716,466.635815,0.453307,209.070054,453.594292,0.477325,270.699301,591.539671,0.47205,218.227493,588.241159,0.390793,228.813309,591.400179,0.402549,201.026423,446.876671,0.461572,182.035197,424.965073,0.439202,203.918229,441.261867,0.476265,179.795004,362.144096,0.526979,205.13972,432.767029,0.496956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.46,151.788623,248.895098,0.615224,231.857066,561.980637,0.424506,191.565792,448.09895,0.443931,239.790806,589.355541,0.427941,202.52985,466.385611,0.452793,208.791711,452.608901,0.477681,270.331851,589.738256,0.47275,218.18164,587.052444,0.391557,228.303516,589.345946,0.402739,200.673009,446.006691,0.461575,181.914892,425.051431,0.438752,203.705012,441.771364,0.475206,179.7451,362.188712,0.526575,204.865145,432.358245,0.496807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.82,160.986051,181.325109,0.892383,245.552844,430.700753,0.588412,209.799586,325.524205,0.653834,289.790746,345.437696,0.860116,229.669916,312.21482,0.740721,221.846515,340.17555,0.668863,281.039451,478.31022,0.615547,225.364675,485.105231,0.484622,245.677836,436.108946,0.571151,221.086091,305.073554,0.73783,181.057331,382.26408,0.486698,230.86082,288.738575,0.808286,199.369451,255.005074,0.783797,224.831523,312.592537,0.738624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.82,163.026891,178.06882,0.920046,268.039434,361.601982,0.749269,221.379506,296.288279,0.751133,301.388507,324.427802,0.943365,239.962997,290.534627,0.829025,236.300833,298.883195,0.795494,297.324889,432.01073,0.713329,245.07813,415.165643,0.605969,271.867511,368.128377,0.736721,233.978075,279.780752,0.84233,190.526654,337.379481,0.575602,241.887177,269.212217,0.901092,206.614987,239.512359,0.86169,235.049871,289.095327,0.824422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.82,163.287171,177.587687,0.924326,277.415114,336.362641,0.827608,225.797731,284.97411,0.795319,305.258874,318.201825,0.970745,243.210298,283.528187,0.861043,241.614181,286.802905,0.844651,304.971015,411.467032,0.76152,256.756333,379.075859,0.688926,280.239296,346.47233,0.805311,236.755553,274.33307,0.86777,200.537785,292.746084,0.691358,245.356271,262.88161,0.934505,209.218385,232.621097,0.898119,238.507601,281.939847,0.854293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.82,163.27302,177.067449,0.92674,281.011038,327.267536,0.860158,227.91796,278.581775,0.821135,306.748951,316.042597,0.980227,244.590148,280.155351,0.876635,243.227207,282.411463,0.86318,309.040109,400.800743,0.787587,262.190673,362.435937,0.732281,283.188183,336.881004,0.837358,237.716366,272.222807,0.877599,206.958846,275.676016,0.755689,246.920925,260.269607,0.949432,210.786474,228.848258,0.919663,239.774548,279.17177,0.865891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.82,163.16965,177.085793,0.926146,282.325814,323.45965,0.873987,229.15295,274.732472,0.837498,306.869131,315.632819,0.980934,245.264965,278.267226,0.88534,243.756173,280.165257,0.872048,310.675267,397.571821,0.796599,264.625143,355.391025,0.752929,284.558068,331.785749,0.855222,238.081059,271.198416,0.882241,208.342749,271.616268,0.772277,247.45411,259.075462,0.955787,211.552729,226.705362,0.931639,240.003994,278.156358,0.869068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.82,163.149895,177.497823,0.924064,283.035796,321.263702,0.882016,229.835158,272.121252,0.848192,306.631286,315.998444,0.97821,245.598743,277.04127,0.890782,243.990551,279.081496,0.876365,311.031858,397.841647,0.795993,265.660775,352.21688,0.762666,285.345581,329.255586,0.864893,238.117987,270.717442,0.883913,208.8208,269.871819,0.779101,247.797393,258.643189,0.958897,212.131781,225.341952,0.93974,239.853802,277.84367,0.868786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.82,162.864498,178.066078,0.919519,283.129083,320.275375,0.884983,230.104697,270.71973,0.853934,305.611615,317.359589,0.969862,245.278811,276.4357,0.891962,243.845316,278.729951,0.877091,310.351708,399.641894,0.789943,265.848306,350.735379,0.766721,285.529611,327.775721,0.870121,238.075343,270.762766,0.883636,208.95326,269.311546,0.781436,247.724276,258.724666,0.958595,212.357907,224.644147,0.943783,239.533479,278.520271,0.864969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.82,162.570997,178.813135,0.913989,283.013151,319.519379,0.886806,230.044838,269.931309,0.856457,304.45578,318.924905,0.960367,245.009274,276.037564,0.892551,243.732039,278.949429,0.876182,309.267632,402.347627,0.781396,265.805789,349.857121,0.768998,285.508761,327.061434,0.872386,237.794561,270.849238,0.882424,208.950004,269.05254,0.782243,247.489535,258.8385,0.957574,212.419178,223.976703,0.9468,238.894208,279.56114,0.859072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.82,162.343735,179.501411,0.909365,282.565453,319.323403,0.886131,229.666086,269.343856,0.857207,302.962116,321.02169,0.948142,244.384328,275.675845,0.891786,243.304863,279.175969,0.874218,307.496703,405.806156,0.769749,265.366586,349.857565,0.768221,285.123525,326.656057,0.872885,237.560993,271.127482,0.880645,208.828348,269.185668,0.781584,247.106463,259.076976,0.955502,212.233385,223.671614,0.947312,238.163196,280.748697,0.852742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.82,161.384333,186.740405,0.869251,281.267564,322.201907,0.874549,228.254977,270.983913,0.847354,295.072664,341.472628,0.864532,242.643277,277.86554,0.879221,241.800982,284.46529,0.853932,298.753516,434.793347,0.697525,263.003378,357.120411,0.748875,284.071139,329.642825,0.862765,236.389553,275.451372,0.862634,208.001706,273.804239,0.765675,245.908889,262.004585,0.940716,211.971149,225.230238,0.939753,234.917575,290.721539,0.812947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.82,159.727302,196.986212,0.815818,277.91825,328.150642,0.848661,225.172478,276.434737,0.819691,284.729619,368.994728,0.772634,239.603651,282.056592,0.855608,238.51444,292.097862,0.821667,287.446087,465.637249,0.627883,257.926212,370.306854,0.712146,280.639079,336.117629,0.836538,233.739308,282.121576,0.832907,205.699741,281.737142,0.736566,243.319987,266.037715,0.916288,210.005377,229.190096,0.914703,230.400291,301.568074,0.769644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.82,158.726657,207.07273,0.771758,274.52331,339.282482,0.811215,221.470959,287.705758,0.775203,275.512658,400.345556,0.691079,236.048576,291.470574,0.816307,235.545009,303.330653,0.78254,278.45114,491.818957,0.576987,252.240035,390.367965,0.664774,276.448955,349.087606,0.794665,230.748821,294.329956,0.788576,203.256262,293.710161,0.698804,240.837428,274.256866,0.878578,207.523151,237.221538,0.87365,225.985452,315.980226,0.72136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.82,157.442953,215.961861,0.734482,269.854958,355.558407,0.761559,216.230812,305.734318,0.713548,266.505929,431.883468,0.621705,231.157792,307.485422,0.75872,231.264045,316.996478,0.736272,270.841566,513.04648,0.538753,245.527106,413.983666,0.613006,269.91302,370.398312,0.732965,225.930766,311.080762,0.731563,199.770065,308.246652,0.655352,237.006199,285.608658,0.829714,204.329586,247.383807,0.826165,220.680324,332.822357,0.669897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.82,156.253346,223.304104,0.705438,264.234906,375.63235,0.706873,210.352515,327.396295,0.650353,258.553079,461.10415,0.56758,225.096815,330.282511,0.689583,226.709352,332.064311,0.690113,264.740171,530.647592,0.510058,238.824477,437.561247,0.566204,262.052918,397.637033,0.665396,220.652212,329.691767,0.675744,196.32016,322.574944,0.61635,233.247655,297.810365,0.783498,201.194304,258.385146,0.781228,215.763354,348.844057,0.626826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.82,155.198234,229.373488,0.682685,258.381901,397.586765,0.654369,204.932973,346.677536,0.600802,251.959567,484.682115,0.529149,218.835431,352.699109,0.63048,222.107165,347.191802,0.648301,259.516982,545.243109,0.487294,232.843325,458.635052,0.528367,254.07476,425.776858,0.605541,215.46278,346.914919,0.628899,192.982089,335.949521,0.582678,229.848364,308.84187,0.745213,198.021584,269.258799,0.740941,211.318261,362.730875,0.592346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
